N,seed,rho,f_elongated,s_max_norm,s_max_norm_2,classification,status
1000,1099062448631258,0.4,0.9174857142857143,0.0045428571428571,0.0051428571428571,0,unjammed
1000,853827592514924,0.4,0.8737428571428572,0.0243999999999999,0.0254285714285714,0,unjammed
1000,1052030010736714,0.4,0.9978714285714284,0.0004571428571428,0.0004571428571428,0,unjammed
1000,993068073743470,0.4,0.9725428571428568,0.0019,0.0021428571428571,0,unjammed
1000,375074238073900,0.4,0.9713999999999998,0.0021285714285714,0.0023571428571428,0,unjammed
1000,416178520884477,0.4,0.9480285714285712,0.0089857142857142,0.0093142857142857,0,unjammed
1000,874051135843279,0.4,0.9544285714285716,0.0044285714285714,0.0046571428571428,0,unjammed
1000,12944511869278,0.4,0.9450428571428572,0.0063142857142857,0.0068714285714285,0,unjammed
1000,542029227742456,0.4,0.9566428571428572,0.0048857142857142,0.0052428571428571,0,unjammed
1000,1011744331896734,0.4,0.8851142857142857,0.0102428571428571,0.0109142857142857,0,unjammed
1000,211701226972609,0.4,0.981085714285714,0.0019142857142857,0.0020285714285714,0,unjammed
1000,292918525777755,0.4,0.9726,0.0028285714285714,0.0029714285714285,0,unjammed
1000,731147908347497,0.4,0.9886428571428568,0.0011857142857142,0.0012428571428571,0,unjammed
1000,985549376192247,0.4,0.9351714285714288,0.0051142857142857,0.0054285714285714,0,unjammed
1000,873456432950595,0.4,0.9534714285714284,0.0013857142857142,0.0014714285714285,0,unjammed
1000,422219896800918,0.4,0.9964142857142856,0.0005857142857142,0.0005857142857142,0,unjammed
1000,900740014674953,0.4,0.9854000000000002,0.0015714285714285,0.0015857142857142,0,unjammed
1000,1020578668480920,0.4,0.8795142857142856,0.0166857142857142,0.0175857142857142,0,unjammed
1000,343569160877337,0.4,0.9239571428571428,0.0050714285714285,0.0056428571428571,0,unjammed
1000,78804909138230,0.4,0.9926142857142862,0.0012,0.0012428571428571,0,unjammed
1000,333614425743970,0.4,0.9373000000000002,0.0012571428571428,0.0014,0,unjammed
1000,974443487743328,0.4,0.9944,0.0010428571428571,0.0010571428571428,0,unjammed
1000,703985244396274,0.4,0.9833142857142856,0.0025571428571428,0.0029714285714285,0,unjammed
1000,1122578106359740,0.4,0.9686285714285712,0.0021142857142857,0.0023285714285714,0,unjammed
1000,492938554100859,0.4,0.9295857142857143,0.0095714285714285,0.0101857142857142,0,unjammed
1000,170902461924754,0.4,0.9042142857142856,0.0047,0.0050142857142857,0,unjammed
1000,260045648084392,0.4,0.9623714285714284,0.0033142857142857,0.0036714285714285,0,unjammed
1000,450419983107763,0.4,0.9507,0.0039142857142857,0.0040999999999999,0,unjammed
1000,543308666121182,0.4,0.8664857142857143,0.0152714285714285,0.0163571428571428,0,unjammed
1000,593849570694833,0.4,0.984885714285714,0.0012,0.0012571428571428,0,unjammed
1000,582382717235568,0.4,0.936514285714286,0.0060142857142857,0.0063142857142857,0,unjammed
1000,1123570616129223,0.4,0.9023428571428572,0.0109714285714285,0.0120285714285714,0,unjammed
1000,680622798933824,0.4,0.9614142857142856,0.0020285714285714,0.0021428571428571,0,unjammed
1000,201764007966294,0.4,0.9686714285714284,0.0023285714285714,0.0026,0,unjammed
1000,453356923466257,0.4,0.9585571428571428,0.0044428571428571,0.0046285714285714,0,unjammed
1000,346214149398000,0.4,0.9876428571428572,0.0021857142857142,0.0023714285714285,0,unjammed
1000,353918643079908,0.4,0.9687428571428572,0.0003857142857142,0.0004,0,unjammed
1000,971536625474344,0.4,0.9415142857142856,0.0044714285714285,0.0049142857142857,0,unjammed
1000,799035771825238,0.4,0.946157142857143,0.0046428571428571,0.0049428571428571,0,unjammed
1000,1114806189928891,0.4,0.9652857142857142,0.0033571428571428,0.0037142857142857,0,unjammed
1000,216465895742590,0.4,0.9064857142857145,0.0060428571428571,0.0066142857142857,0,unjammed
1000,926435018171726,0.4,0.9922428571428574,0.0004857142857142,0.0004857142857142,0,unjammed
1000,744517311885370,0.4,0.9634714285714288,0.0057714285714285,0.0060142857142857,0,unjammed
1000,812580382463326,0.4,0.9840000000000004,0.0014857142857142,0.0015428571428571,0,unjammed
1000,521742092743191,0.4,0.984271428571428,7.142857142857142e-05,7.142857142857142e-05,0,unjammed
1000,1008612444973162,0.4,0.9107,0.0124142857142857,0.013,0,unjammed
1000,121838283310165,0.4,0.9813285714285714,0.0019428571428571,0.0020571428571428,0,unjammed
1000,431006493426170,0.4,0.9747142857142858,0.0010571428571428,0.0011571428571428,0,unjammed
1000,765322069857382,0.4,0.9516999999999998,0.0055714285714285,0.0059142857142857,0,unjammed
1000,725201757884584,0.4,0.9375571428571428,0.0058571428571428,0.0061857142857142,0,unjammed
