N,seed,rho,f_elongated,f_binary,f_active,s_max_norm,s_max_norm_2
1000,1099062448631258,0.4,0.9174857142857143,0.0693714285714286,0.986857142857143,0.004542857142857143,0.0051428571428571435
1000,853827592514924,0.4,0.8737428571428572,0.08284285714285713,0.9565857142857143,0.024399999999999998,0.025428571428571425
1000,1052030010736714,0.4,0.9978714285714284,0.0016285714285714287,0.9994999999999998,0.00045714285714285713,0.00045714285714285713
1000,993068073743470,0.4,0.9725428571428569,0.024457142857142858,0.9969999999999998,0.0019,0.002142857142857143
1000,375074238073900,0.4,0.9713999999999998,0.022328571428571427,0.9937285714285713,0.0021285714285714285,0.002357142857142857
1000,416178520884477,0.4,0.9480285714285713,0.03611428571428572,0.9841428571428571,0.008985714285714286,0.009314285714285714
1000,874051135843279,0.4,0.9544285714285716,0.03485714285714286,0.9892857142857144,0.004428571428571428,0.004657142857142857
1000,12944511869278,0.4,0.9450428571428572,0.03908571428571428,0.9841285714285715,0.006314285714285714,0.006871428571428571
1000,542029227742456,0.4,0.9566428571428572,0.031828571428571435,0.9884714285714287,0.004885714285714286,0.005242857142857143
1000,1011744331896734,0.4,0.8851142857142857,0.07457142857142858,0.9596857142857144,0.010242857142857142,0.010914285714285715
1000,211701226972609,0.4,0.9810857142857141,0.015128571428571427,0.9962142857142855,0.0019142857142857143,0.0020285714285714286
1000,292918525777755,0.4,0.9725999999999999,0.022099999999999998,0.9946999999999999,0.0028285714285714286,0.0029714285714285715
1000,731147908347497,0.4,0.9886428571428569,0.0092,0.9978428571428569,0.0011857142857142858,0.001242857142857143
1000,985549376192247,0.4,0.9351714285714287,0.05387142857142857,0.9890428571428572,0.005114285714285714,0.0054285714285714284
1000,873456432950595,0.4,0.9534714285714285,0.04345714285714285,0.9969285714285714,0.0013857142857142857,0.0014714285714285714
1000,422219896800918,0.4,0.9964142857142855,0.0029714285714285715,0.9993857142857141,0.0005857142857142858,0.0005857142857142858
1000,900740014674953,0.4,0.9854000000000002,0.011442857142857144,0.9968428571428574,0.0015714285714285715,0.0015857142857142856
1000,1020578668480920,0.4,0.8795142857142856,0.07902857142857145,0.958542857142857,0.016685714285714286,0.017585714285714284
1000,343569160877337,0.4,0.9239571428571429,0.06342857142857142,0.9873857142857143,0.005071428571428571,0.005642857142857143
1000,78804909138230,0.4,0.9926142857142862,0.005742857142857145,0.9983571428571434,0.0012,0.001242857142857143
1000,333614425743970,0.4,0.9373000000000002,0.06015714285714285,0.997457142857143,0.001257142857142857,0.0014
1000,974443487743328,0.4,0.9944000000000001,0.004271428571428572,0.9986714285714287,0.001042857142857143,0.0010571428571428572
1000,703985244396274,0.4,0.9833142857142856,0.012014285714285715,0.9953285714285713,0.002557142857142857,0.0029714285714285715
1000,1122578106359740,0.4,0.9686285714285713,0.025185714285714277,0.9938142857142855,0.0021142857142857144,0.0023285714285714285
1000,492938554100859,0.4,0.9295857142857145,0.04554285714285714,0.9751285714285716,0.009571428571428571,0.010185714285714286
1000,170902461924754,0.4,0.9042142857142857,0.08007142857142856,0.9842857142857143,0.0047,0.005014285714285714
1000,260045648084392,0.4,0.9623714285714283,0.030457142857142846,0.9928285714285712,0.0033142857142857145,0.003671428571428571
1000,450419983107763,0.4,0.9506999999999999,0.042,0.9926999999999999,0.003914285714285714,0.0040999999999999995
1000,543308666121182,0.4,0.8664857142857143,0.08157142857142857,0.9480571428571429,0.015271428571428573,0.01635714285714286
1000,593849570694833,0.4,0.9848857142857141,0.013014285714285716,0.9978999999999999,0.0012,0.001257142857142857
1000,582382717235568,0.4,0.9365142857142859,0.04869999999999999,0.9852142857142858,0.006014285714285714,0.006314285714285714
1000,1123570616129223,0.4,0.9023428571428572,0.07054285714285716,0.9728857142857144,0.010971428571428571,0.012028571428571428
1000,680622798933824,0.4,0.9614142857142856,0.03320000000000001,0.9946142857142856,0.0020285714285714286,0.002142857142857143
1000,201764007966294,0.4,0.9686714285714284,0.026299999999999997,0.9949714285714284,0.0023285714285714285,0.0026
1000,453356923466257,0.4,0.9585571428571427,0.03165714285714285,0.9902142857142855,0.004442857142857143,0.004628571428571429
1000,346214149398000,0.4,0.9876428571428573,0.00832857142857143,0.9959714285714287,0.0021857142857142856,0.0023714285714285716
1000,353918643079908,0.4,0.9687428571428571,0.030842857142857148,0.9995857142857143,0.0003857142857142857,0.0004
1000,971536625474344,0.4,0.9415142857142857,0.04934285714285715,0.9908571428571429,0.0044714285714285715,0.004914285714285715
1000,799035771825238,0.4,0.946157142857143,0.04368571428571429,0.9898428571428574,0.004642857142857143,0.004942857142857143
1000,1114806189928891,0.4,0.9652857142857142,0.028314285714285715,0.9935999999999999,0.003357142857142857,0.0037142857142857142
1000,216465895742590,0.4,0.9064857142857145,0.07145714285714287,0.9779428571428573,0.006042857142857142,0.006614285714285714
1000,926435018171726,0.4,0.9922428571428574,0.007157142857142858,0.9994000000000003,0.0004857142857142857,0.0004857142857142857
1000,744517311885370,0.4,0.9634714285714288,0.025599999999999998,0.9890714285714287,0.0057714285714285714,0.006014285714285714
1000,812580382463326,0.4,0.9840000000000003,0.013728571428571429,0.9977285714285717,0.0014857142857142857,0.001542857142857143
1000,521742092743191,0.4,0.9842714285714281,0.01565714285714285,0.999928571428571,7.142857142857142e-05,7.142857142857142e-05
1000,1008612444973162,0.4,0.9107,0.060942857142857146,0.9716428571428571,0.012414285714285715,0.013
1000,121838283310165,0.4,0.9813285714285714,0.015071428571428567,0.9964,0.0019428571428571429,0.0020571428571428568
1000,431006493426170,0.4,0.9747142857142858,0.02245714285714286,0.9971714285714286,0.0010571428571428572,0.0011571428571428572
1000,765322069857382,0.4,0.9516999999999998,0.03900000000000001,0.9906999999999998,0.005571428571428571,0.005914285714285715
1000,725201757884584,0.4,0.9375571428571428,0.04735714285714285,0.9849142857142856,0.005857142857142857,0.006185714285714286
1000,184656659025018,0.4,0.906557142857143,0.06649999999999999,0.973057142857143,0.0099,0.010771428571428572
1000,1034686135547599,0.4,0.944257142857143,0.044399999999999995,0.988657142857143,0.004185714285714286,0.0044714285714285715
1000,380972098894405,0.4,0.9496142857142857,0.03685714285714286,0.9864714285714286,0.007585714285714285,0.007871428571428571
1000,742183958399040,0.4,0.9592714285714286,0.03168571428571428,0.9909571428571429,0.004742857142857143,0.004942857142857143
1000,37852570490343,0.4,0.8866428571428572,0.0763,0.9629428571428572,0.0114,0.012671428571428571
1000,734109262104827,0.4,0.9507285714285713,0.03921428571428571,0.989942857142857,0.004857142857142857,0.0052
1000,401686787590537,0.4,0.8898571428571428,0.07520000000000002,0.9650571428571428,0.016542857142857144,0.017442857142857142
1000,350020380685320,0.4,0.9185999999999999,0.06725714285714288,0.9858571428571428,0.004671428571428572,0.005171428571428572
1000,484612500106051,0.4,0.992142857142857,0.005542857142857143,0.9976857142857142,0.0009714285714285714,0.0010571428571428572
1000,604884003999171,0.4,0.9569285714285712,0.028357142857142855,0.9852857142857141,0.00902857142857143,0.009471428571428572
1000,501697692195937,0.4,0.9227857142857143,0.06380000000000001,0.9865857142857143,0.0061571428571428576,0.006442857142857143
1000,851083349436041,0.4,0.9387714285714284,0.05268571428571428,0.9914571428571426,0.003857142857142857,0.004214285714285715
1000,796940938751527,0.4,0.9897571428571429,0.008971428571428573,0.9987285714285714,0.0008428571428571428,0.0008428571428571428
1000,7713914261614,0.4,0.9884285714285715,0.010585714285714289,0.9990142857142859,0.0006285714285714285,0.0006285714285714285
1000,1099062448631258,0.5,0.9436857142857143,0.046142857142857145,0.9898285714285715,0.0044571428571428574,0.004771428571428571
1000,853827592514924,0.5,0.7645428571428572,0.13,0.8945428571428572,0.0352,0.03775714285714286
1000,1052030010736714,0.5,0.8956999999999999,0.07669999999999999,0.9723999999999999,0.0127,0.0134
1000,993068073743470,0.5,0.8417285714285715,0.11860000000000004,0.9603285714285715,0.0148,0.0156
1000,375074238073900,0.5,0.9388285714285715,0.056514285714285704,0.9953428571428572,0.0018285714285714285,0.0019142857142857143
1000,416178520884477,0.5,0.7857571428571428,0.12705714285714287,0.9128142857142857,0.03027142857142857,0.032214285714285716
1000,874051135843279,0.5,0.9703285714285714,0.028542857142857137,0.9988714285714285,0.0006857142857142857,0.0007571428571428572
1000,12944511869278,0.5,0.8186857142857145,0.1223,0.9409857142857144,0.016014285714285717,0.017042857142857144
1000,542029227742456,0.5,0.8257142857142856,0.11695714285714284,0.9426714285714285,0.014885714285714287,0.0167
1000,1011744331896734,0.5,0.9053714285714286,0.08159999999999999,0.9869714285714286,0.0060857142857142854,0.006271428571428571
1000,211701226972609,0.5,0.9986714285714288,0.0011285714285714289,0.9998000000000002,0.00017142857142857143,0.00017142857142857143
1000,292918525777755,0.5,0.9372999999999999,0.04929999999999999,0.9865999999999999,0.004085714285714285,0.004371428571428571
1000,731147908347497,0.5,0.8655142857142856,0.10055714285714284,0.9660714285714285,0.011371428571428572,0.012785714285714286
1000,985549376192247,0.5,0.8752857142857143,0.09081428571428571,0.9661000000000001,0.011257142857142858,0.011971428571428572
1000,873456432950595,0.5,0.9379714285714286,0.05387142857142856,0.9918428571428571,0.0034571428571428574,0.0038
1000,422219896800918,0.5,0.8368428571428571,0.10577142857142857,0.9426142857142856,0.019185714285714285,0.022014285714285715
1000,900740014674953,0.5,0.7898714285714287,0.1148,0.9046714285714287,0.04037142857142857,0.04461428571428571
1000,1020578668480920,0.5,0.8543571428571427,0.1084142857142857,0.9627714285714284,0.016514285714285717,0.017442857142857142
1000,343569160877337,0.5,0.9775714285714283,0.02182857142857143,0.9993999999999997,0.0005428571428571428,0.0005428571428571428
1000,78804909138230,0.5,0.8377428571428572,0.09649999999999999,0.9342428571428573,0.02062857142857143,0.02265714285714286
1000,333614425743970,0.5,0.9962000000000003,0.0036857142857142857,0.9998857142857146,8.571428571428571e-05,8.571428571428571e-05
1000,974443487743328,0.5,0.9234714285714288,0.06678571428571427,0.9902571428571431,0.0032714285714285714,0.0037857142857142855
1000,703985244396274,0.5,0.8777714285714286,0.07770000000000002,0.9554714285714286,0.015985714285714287,0.017728571428571427
1000,1122578106359740,0.5,0.8504999999999999,0.1002142857142857,0.9507142857142856,0.017257142857142856,0.018742857142857144
1000,492938554100859,0.5,0.8696285714285713,0.08647142857142857,0.9560999999999998,0.014528571428571429,0.015942857142857144
1000,170902461924754,0.5,0.8275714285714285,0.1254,0.9529714285714286,0.0154,0.016185714285714286
1000,260045648084392,0.5,0.9168142857142856,0.06648571428571429,0.9832999999999998,0.007857142857142856,0.008885714285714287
1000,450419983107763,0.5,0.8478285714285714,0.11174285714285716,0.9595714285714285,0.016514285714285717,0.017971428571428572
1000,543308666121182,0.5,0.9626714285714286,0.032885714285714296,0.9955571428571429,0.0031,0.0034571428571428574
1000,593849570694833,0.5,0.8560285714285715,0.11080000000000001,0.9668285714285715,0.011,0.012014285714285713
1000,582382717235568,0.5,0.8641714285714285,0.0943,0.9584714285714284,0.01662857142857143,0.017471428571428572
1000,1123570616129223,0.5,0.8800571428571429,0.09322857142857141,0.9732857142857143,0.00967142857142857,0.0101
1000,680622798933824,0.5,0.8890999999999998,0.0843285714285714,0.9734285714285712,0.010228571428571427,0.011342857142857144
1000,201764007966294,0.5,0.8904142857142857,0.08275714285714289,0.9731714285714286,0.012214285714285714,0.013014285714285714
1000,453356923466257,0.5,0.9256857142857143,0.05792857142857144,0.9836142857142858,0.005857142857142857,0.0064285714285714285
1000,346214149398000,0.5,0.9590285714285715,0.026471428571428573,0.9855,0.006528571428571429,0.006885714285714286
1000,353918643079908,0.5,0.8735857142857142,0.08437142857142858,0.9579571428571427,0.019399999999999997,0.0201
1000,971536625474344,0.5,0.9062142857142857,0.06525714285714286,0.9714714285714287,0.009114285714285714,0.009957142857142857
1000,799035771825238,0.5,0.9538428571428572,0.042600000000000006,0.9964428571428572,0.0018714285714285714,0.0020428571428571427
1000,1114806189928891,0.5,0.8321142857142857,0.1114,0.9435142857142857,0.019014285714285716,0.020771428571428573
1000,216465895742590,0.5,0.8473142857142855,0.09779999999999997,0.9451142857142855,0.025314285714285713,0.026571428571428572
1000,926435018171726,0.5,0.9185142857142858,0.06219999999999999,0.9807142857142859,0.0060999999999999995,0.006371428571428571
1000,744517311885370,0.5,0.9955714285714288,0.004314285714285715,0.9998857142857145,8.571428571428571e-05,8.571428571428571e-05
1000,812580382463326,0.5,0.9982142857142853,0.0016142857142857148,0.999828571428571,0.00017142857142857143,0.00017142857142857143
1000,521742092743191,0.5,0.8578142857142856,0.08898571428571428,0.9467999999999999,0.019142857142857142,0.02065714285714286
1000,1008612444973162,0.5,0.9981857142857139,0.0017571428571428575,0.9999428571428568,5.714285714285714e-05,5.714285714285714e-05
1000,121838283310165,0.5,0.8994142857142856,0.07315714285714284,0.9725714285714284,0.008400000000000001,0.009214285714285713
1000,431006493426170,0.5,0.8781857142857142,0.09712857142857143,0.9753142857142857,0.011842857142857143,0.012228571428571427
1000,765322069857382,0.5,0.8611857142857142,0.12028571428571429,0.9814714285714286,0.006228571428571429,0.006857142857142857
1000,725201757884584,0.5,0.7927857142857141,0.12281428571428571,0.9155999999999997,0.029857142857142856,0.03271428571428572
1000,184656659025018,0.5,0.9936142857142857,0.00462857142857143,0.9982428571428571,0.0008,0.0008428571428571428
1000,1034686135547599,0.5,0.9733428571428572,0.02205714285714286,0.9954000000000001,0.0024571428571428574,0.0026285714285714285
1000,380972098894405,0.5,0.7821428571428571,0.13981428571428572,0.9219571428571429,0.026085714285714285,0.027742857142857145
1000,742183958399040,0.5,0.9347999999999999,0.05031428571428572,0.9851142857142856,0.005885714285714286,0.006385714285714286
1000,37852570490343,0.5,0.9952714285714284,0.004614285714285715,0.999885714285714,7.142857142857142e-05,7.142857142857142e-05
1000,734109262104827,0.5,0.8838142857142857,0.08704285714285716,0.9708571428571429,0.016399999999999998,0.016842857142857142
1000,401686787590537,0.5,0.9224428571428571,0.05588571428571428,0.9783285714285714,0.007557142857142857,0.0081
1000,350020380685320,0.5,0.9466714285714285,0.04227142857142858,0.9889428571428571,0.0038,0.004128571428571429
1000,484612500106051,0.5,0.9775285714285715,0.01981428571428571,0.9973428571428572,0.0013714285714285714,0.0016428571428571427
1000,604884003999171,0.5,0.8756285714285714,0.08887142857142856,0.9645,0.01367142857142857,0.015042857142857143
1000,501697692195937,0.5,0.7666571428571429,0.1388,0.905457142857143,0.027899999999999998,0.030585714285714286
1000,851083349436041,0.5,0.8722142857142858,0.08001428571428572,0.9522285714285715,0.022714285714285715,0.02381428571428571
1000,796940938751527,0.5,0.9305714285714286,0.05114285714285716,0.9817142857142858,0.0070999999999999995,0.007971428571428572
1000,7713914261614,0.5,0.8404714285714284,0.11844285714285713,0.9589142857142856,0.014414285714285715,0.015528571428571428
1000,1099062448631258,0.6,0.9273428571428569,0.06502857142857144,0.9923714285714283,0.0029714285714285715,0.0032285714285714287
1000,853827592514924,0.6,0.8027285714285715,0.12678571428571425,0.9295142857142857,0.026014285714285715,0.0268
1000,1052030010736714,0.6,0.9955571428571429,0.004442857142857143,1.0,0.0,0.0
1000,993068073743470,0.6,0.7336571428571429,0.15571428571428572,0.8893714285714286,0.03138571428571429,0.034
1000,375074238073900,0.6,0.7396142857142858,0.15200000000000002,0.8916142857142858,0.043057142857142856,0.045771428571428574
1000,416178520884477,0.6,0.7710714285714286,0.14785714285714283,0.9189285714285714,0.028385714285714285,0.030285714285714284
1000,874051135843279,0.6,0.8325857142857142,0.12285714285714285,0.955442857142857,0.01912857142857143,0.0202
1000,12944511869278,0.6,0.7922571428571429,0.11457142857142856,0.9068285714285714,0.03808571428571429,0.04044285714285714
1000,542029227742456,0.6,0.7877714285714287,0.13572857142857142,0.9235000000000001,0.025942857142857143,0.027685714285714286
1000,1011744331896734,0.6,0.8199571428571428,0.1048,0.9247571428571428,0.025885714285714286,0.027614285714285713
1000,211701226972609,0.6,0.7584714285714286,0.14077142857142858,0.8992428571428571,0.03277142857142857,0.035185714285714285
1000,292918525777755,0.6,0.8630428571428572,0.09931428571428572,0.9623571428571429,0.015685714285714285,0.01635714285714286
1000,731147908347497,0.6,0.7724428571428572,0.13092857142857145,0.9033714285714287,0.02587142857142857,0.028342857142857142
1000,985549376192247,0.6,0.6545142857142858,0.16817142857142856,0.8226857142857144,0.06517142857142857,0.07035714285714287
1000,873456432950595,0.6,0.9532142857142858,0.04271428571428572,0.9959285714285715,0.0022285714285714287,0.0024
1000,422219896800918,0.6,0.7902285714285714,0.14228571428571424,0.9325142857142856,0.0251,0.026699999999999998
1000,900740014674953,0.6,0.7835714285714287,0.13220000000000004,0.9157714285714287,0.03467142857142857,0.03805714285714286
1000,1020578668480920,0.6,0.9772857142857142,0.01975714285714286,0.997042857142857,0.0022571428571428573,0.002557142857142857
1000,343569160877337,0.6,0.7151285714285714,0.1457,0.8608285714285715,0.04815714285714286,0.05531428571428572
1000,78804909138230,0.6,0.878257142857143,0.08529999999999999,0.963557142857143,0.0166,0.017885714285714286
1000,333614425743970,0.6,0.791142857142857,0.14044285714285715,0.9315857142857142,0.0322,0.03372857142857143
1000,974443487743328,0.6,0.9999714285714284,2.857142857142857e-05,0.9999999999999998,0.0,0.0
1000,703985244396274,0.6,0.6949714285714285,0.15704285714285712,0.8520142857142856,0.04562857142857143,0.04964285714285715
1000,1122578106359740,0.6,0.7380428571428572,0.14840000000000003,0.8864428571428573,0.031071428571428573,0.03291428571428571
1000,492938554100859,0.6,0.7626714285714283,0.14452857142857142,0.9071999999999998,0.0364,0.038471428571428566
1000,170902461924754,0.6,0.852642857142857,0.10571428571428569,0.9583571428571427,0.0178,0.019114285714285716
1000,260045648084392,0.6,0.9041999999999999,0.06699999999999999,0.9711999999999998,0.011428571428571429,0.012185714285714286
1000,450419983107763,0.6,0.7087571428571429,0.14205714285714283,0.8508142857142857,0.051514285714285714,0.057871428571428574
1000,543308666121182,0.6,0.9208142857142858,0.06702857142857144,0.9878428571428572,0.004871428571428571,0.005314285714285714
1000,593849570694833,0.6,0.9998142857142857,0.00018571428571428572,0.9999999999999999,0.0,0.0
1000,582382717235568,0.6,0.8476428571428571,0.10462857142857142,0.9522714285714285,0.014571428571428572,0.015585714285714286
1000,1123570616129223,0.6,0.8483428571428572,0.0980142857142857,0.9463571428571429,0.024114285714285713,0.0258
1000,680622798933824,0.6,0.732642857142857,0.14188571428571428,0.8745285714285713,0.04051428571428571,0.042928571428571434
1000,201764007966294,0.6,0.8264285714285715,0.09892857142857141,0.9253571428571429,0.03611428571428572,0.038642857142857145
1000,453356923466257,0.6,0.8352285714285713,0.11952857142857144,0.9547571428571427,0.01575714285714286,0.0167
1000,346214149398000,0.6,0.8372857142857143,0.11054285714285714,0.9478285714285715,0.018985714285714283,0.020114285714285713
1000,353918643079908,0.6,0.8968571428571428,0.07848571428571428,0.9753428571428571,0.008185714285714286,0.00907142857142857
1000,971536625474344,0.6,0.8132999999999999,0.11204285714285714,0.925342857142857,0.02447142857142857,0.026514285714285716
1000,799035771825238,0.6,0.8412999999999998,0.1022285714285714,0.9435285714285713,0.014842857142857144,0.016814285714285712
1000,1114806189928891,0.6,0.7505142857142856,0.1293,0.8798142857142855,0.046357142857142854,0.05121428571428571
1000,216465895742590,0.6,0.8129142857142858,0.10732857142857143,0.9202428571428573,0.03282857142857143,0.035042857142857146
1000,926435018171726,0.6,0.9934571428571429,0.005242857142857145,0.9987,0.0009285714285714286,0.001
1000,744517311885370,0.6,0.8005142857142857,0.13278571428571426,0.9333,0.022514285714285716,0.02435714285714286
1000,812580382463326,0.6,0.8578285714285714,0.09455714285714284,0.9523857142857142,0.022714285714285715,0.023914285714285714
1000,521742092743191,0.6,0.794257142857143,0.13910000000000003,0.933357142857143,0.015157142857142857,0.017071428571428574
1000,1008612444973162,0.6,0.9916428571428574,0.0070999999999999995,0.9987428571428574,0.0009428571428571429,0.0009857142857142857
1000,121838283310165,0.6,0.8526142857142859,0.10405714285714285,0.9566714285714287,0.021157142857142857,0.02232857142857143
1000,431006493426170,0.6,0.6770857142857143,0.16137142857142855,0.8384571428571428,0.05381428571428572,0.05797142857142857
1000,765322069857382,0.6,0.7961571428571428,0.11702857142857143,0.9131857142857143,0.03442857142857143,0.03712857142857143
1000,725201757884584,0.6,0.7816142857142857,0.13255714285714282,0.9141714285714285,0.035,0.037142857142857144
1000,184656659025018,0.6,0.8387,0.11704285714285712,0.9557428571428571,0.01517142857142857,0.016585714285714287
1000,1034686135547599,0.6,0.996957142857143,0.0029714285714285723,0.9999285714285716,7.142857142857142e-05,7.142857142857142e-05
1000,380972098894405,0.6,0.7719142857142858,0.14702857142857145,0.9189428571428573,0.0248,0.026600000000000002
1000,742183958399040,0.6,0.7437285714285714,0.14011428571428572,0.8838428571428572,0.035571428571428566,0.03767142857142857
1000,37852570490343,0.6,0.7712857142857144,0.14347142857142858,0.9147571428571429,0.037700000000000004,0.038642857142857145
1000,734109262104827,0.6,0.703,0.15227142857142859,0.8552714285714286,0.044514285714285715,0.05065714285714286
1000,401686787590537,0.6,0.9994857142857141,0.0003857142857142858,0.9998714285714284,0.00012857142857142855,0.00012857142857142855
1000,350020380685320,0.6,0.7954000000000001,0.12117142857142855,0.9165714285714287,0.03485714285714286,0.0376
1000,484612500106051,0.6,0.783142857142857,0.13175714285714288,0.9148999999999999,0.03514285714285715,0.037714285714285714
1000,604884003999171,0.6,0.9098428571428572,0.07218571428571428,0.9820285714285715,0.008071428571428571,0.008528571428571429
1000,501697692195937,0.6,0.8397,0.11798571428571426,0.9576857142857143,0.011414285714285715,0.012371428571428571
1000,851083349436041,0.6,0.7411142857142857,0.13602857142857147,0.8771428571428572,0.040299999999999996,0.043814285714285715
1000,796940938751527,0.6,0.7013428571428572,0.14987142857142857,0.8512142857142857,0.05588571428571429,0.058942857142857144
1000,7713914261614,0.6,0.6338285714285714,0.16734285714285715,0.8011714285714285,0.0732142857142857,0.08074285714285714
1000,1099062448631258,0.7,0.6923000000000001,0.16242857142857142,0.8547285714285715,0.05695714285714286,0.06124285714285714
