density,mean_aspect_ratio,fraction_elongated,fraction_round,fraction_binary,mean_aspect_ratio_std,fraction_elongated_std,fraction_round_std,fraction_binary_std,n_realizations
0.4,2.598080859375,0.8733308035714286,0.04059866071428567,0.08607053571428566,0.036795768592770076,0.028590767034640547,0.017233664437657753,0.014633434250345462,64
0.5,2.533551529017857,0.8190456473214287,0.07070234374999997,0.1102520089285714,0.06358973700574479,0.047197851240002905,0.030407885856770872,0.020199275753354992,64
0.6,2.393754854910714,0.7166181919642858,0.1390892857142857,0.14429252232142856,0.08738679999026924,0.058040191188632136,0.04266766056604772,0.019217398125621447,64
0.7,2.161944174107143,0.5674193080357143,0.2581291294642857,0.1744515625,0.09927016091550116,0.0544984656167789,0.050758847103617805,0.009013591083049152,64
0.75,1.9613130803571428,0.45253917410714284,0.3652875,0.18217332589285712,0.09876035939494068,0.054051349881604524,0.05124477161697378,0.00860761665806579,64
0.76,1.9243818750000001,0.4303774553571429,0.3858102678571429,0.18381227678571427,0.10354551429032799,0.05549525015233244,0.05383371145129822,0.008547526146270011,64
0.77,1.885846685267857,0.4106100446428571,0.40796149553571426,0.18142845982142858,0.11770334378656587,0.061056350815661166,0.06297277118165205,0.008622822442841451,64
0.78,1.80558421875,0.36764285714285716,0.45234430803571424,0.18001283482142855,0.11239821548507471,0.05917683981581248,0.05914470918726057,0.008681711000441414,64
0.79,1.746610200892857,0.3358286830357143,0.48537756696428574,0.17879374999999997,0.09118138277660941,0.047644244498564366,0.04870303427140822,0.008032497718537835,64
0.8,1.6866530022321429,0.30473359375,0.5198724330357143,0.17539397321428568,0.09084915881996788,0.045903561280762305,0.04966922803817901,0.009955111041974045,64
0.81,1.6256309040178571,0.2740969866071429,0.5561983258928571,0.16970468749999998,0.09020175911448526,0.04658281978511991,0.049154475119429164,0.009678364476266388,64
0.82,1.5754878906249998,0.24957957589285712,0.5880375,0.16238292410714283,0.11479847536651365,0.05754450395126423,0.06492379151161463,0.010769549811280582,64
0.83,1.5162022879464283,0.2214725446428571,0.6261452008928572,0.1523822544642857,0.11538842885527707,0.05691083265683362,0.0666126413511647,0.012266614047941096,64
0.84,1.4367679575892855,0.18264944196428567,0.6755487723214286,0.1418017857142857,0.10945232305279391,0.05077399956587618,0.06520446391621551,0.01625872081658065,64
0.845,1.3613920982142858,0.14946729910714282,0.7246339285714285,0.12589877232142854,0.14134964360471416,0.0655497015763517,0.08619548846627881,0.023191762824338477,64
0.848,1.249279720982143,0.10127265624999998,0.7961628348214286,0.10256450892857139,0.19743082483489993,0.08665169433684422,0.1220132063432354,0.036780045926766335,64
0.85,1.1782785714285715,0.07164408482142855,0.8486972098214287,0.07965870535714281,0.19608095271037476,0.08444841097702599,0.12868916474765332,0.045956188617205816,64
0.852,1.1576635602678573,0.06370915178571426,0.864482142857143,0.07180870535714283,0.18782619991561536,0.08157315072254251,0.1225807820287215,0.04256326080294344,64
0.855,1.0561500223214284,0.020524553571428565,0.9337310267857144,0.045744419642857095,0.11034793652049209,0.045943058567175996,0.07522632847601386,0.030055688391904943,64
0.86,1.0190886049107144,0.006065178571428569,0.9686109374999997,0.02532388392857139,0.05847685231175989,0.02408319334415785,0.04227549416407679,0.019513530902206807,64
0.87,1.0024667968749998,0.0,0.9873328125,0.012667187499999967,0.0005798620301057345,0.0,0.002249606998305581,0.002249606998305578,64
0.88,1.001100234375,0.0,0.99383046875,0.0061695312499999684,0.0002751239687207678,0.0,0.0013344226855722394,0.0013344226855722444,64
0.9,1.0001414062499998,0.0,0.9990164062499999,0.0009835937499999938,7.300504847731421e-05,0.0,0.0004261357082727146,0.00042613570827269794,64
