density,nematic,polar,nematic_2,polar_2,nematic_std,polar_std,nematic_2_std,polar_2_std,n_realizations
0.4,0.23610675707375078,0.4941971386522943,0.22761604808232108,0.4762393299571616,0.10187915132843861,0.1486641093834462,0.10085208841733381,0.14855982134890244,64
0.5,0.23433577337966172,0.4869549852706606,0.22016511032664215,0.45648043678203754,0.10364363458030311,0.1564560238759126,0.10323483785716642,0.15718876186293612,64
0.6,0.18471301561584105,0.4153073854042535,0.1619937888806839,0.36300891555863307,0.10575387690736536,0.14670963936632364,0.10532145122673388,0.14642170637256577,64
0.7,0.17241290515762844,0.3413119458502859,0.130239565847171,0.25905218173632166,0.06432257484723646,0.1290534721461055,0.05435181376931528,0.11184588640923983,64
0.75,0.14108786216007752,0.2554891924112158,0.09110163378744712,0.1657841800823594,0.04457640420843353,0.09909492272908142,0.03400549023360405,0.07623126858222376,64
0.76,0.1335737937089434,0.2678332500353507,0.08402119115826615,0.1695559091864577,0.04754514951657248,0.11182043547051483,0.037004363963182865,0.08447664269617321,64
0.77,0.1414856781728932,0.26964664883357325,0.08577075990039215,0.16483599339166455,0.04317656262411964,0.1022745101367295,0.034888721146046964,0.07856411124026136,64
0.78,0.13683718783028886,0.2515830570922995,0.07662110196601812,0.1422977353638472,0.04447150299223332,0.0943166855911095,0.03258243497795486,0.06967856519742031,64
0.79,0.12021829438638287,0.22697479305973922,0.06291231127361471,0.1196609871872133,0.03028604853053912,0.08618477888259678,0.020464828874325835,0.05572777529124104,64
0.8,0.12270331035413047,0.217074603364591,0.060281283571220035,0.10730987204502779,0.037621567160665226,0.07410886726827695,0.023325629743746346,0.045153332863433475,64
0.81,0.12143008015829085,0.21615160460533991,0.05484537879271284,0.09838802769737909,0.031145503551485335,0.0729696411748603,0.0188073250962911,0.04058562775742929,64
0.82,0.12160066869926604,0.2085618193131828,0.05201025044961986,0.09038193819406884,0.03559922310426278,0.08071844417857064,0.023924773536298665,0.05115682645374072,64
0.83,0.1269202838647876,0.22797992283134103,0.049304690734803855,0.09009020406131521,0.03557844065947408,0.07199548135227268,0.021671122737394573,0.04319932447908193,64
0.84,0.12913460956305087,0.2209902272492687,0.043959983285842136,0.07628084695353177,0.03500098629692657,0.06850464993453825,0.01980310245343651,0.035992588848023976,64
0.845,0.1316009949813517,0.21427234368325074,0.03744155035049446,0.06430637599509204,0.05290716779979066,0.07888666155520986,0.024857362121578044,0.046106862481644854,64
0.848,0.15003865775222244,0.1890919970647904,0.02859310313510897,0.04795674528365414,0.0721341362624225,0.07891814732332844,0.02017755539647567,0.042635905623402,64
0.85,0.1902985972761771,0.17689038817883412,0.02265864648724538,0.03364037220005643,0.121387320234978,0.07672621830468815,0.02170626152359379,0.04046010333324356,64
0.852,0.171464822494362,0.17174238476333958,0.018810859953741398,0.029030446509093987,0.08907490798236684,0.0723318978950893,0.01697998714851387,0.037362282176866234,64
0.855,0.21637619815995296,0.15338129892059793,0.010645896523053477,0.0123925771454944,0.15013666862156513,0.05689844179984582,0.009775549198428348,0.019814940602256286,64
0.86,0.25608957521735304,0.1667018332551728,0.005826435144775588,0.0051555664407362525,0.17624359260510072,0.058507716185209106,0.004990839055791618,0.008045189856721934,64
0.87,0.24145380767870483,0.19645483817510973,0.00300829699584267,0.002429116636452322,0.08173471753096241,0.040261129150053046,0.001123355097654548,0.0004898248418806032,64
0.88,0.3081300995728411,0.27347134619898444,0.0018520980604834157,0.0015971981055060125,0.09338560000035157,0.05822911052911857,0.0007246934859200605,0.000375149403846442,64
0.9,0.6339192890519776,0.5993909177812765,0.0006292872562745484,0.0005750366880290234,0.1414842770263749,0.11573460969590967,0.00024651678152420376,0.00016253983916692942,64
