N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id,nematic_elong,polar_elong,nematic_total,polar_total,s_max_elong,s_2max_elong,n_clusters_elong
1000,1099062448631258.0,0.78,0.3068857142857144,0.2080571428571428,0.5149428571428571,1.713228571428571,0.3075714285714285,0.3571,23.0,0,Unjammed,0,0.12059499997915384,0.15509209690437195,0.06243024044615586,0.07908219238364905,0.43335714285714283,0.02781428571428571,23.12857142857143
1000,853827592514924.0,0.78,0.4585999999999999,0.1883428571428571,0.646942857142857,1.980127142857143,0.1941142857142857,0.2292285714285714,20.01428571428572,0,Unjammed,0,0.22743371233880466,0.4592996480714301,0.14856539160767335,0.29842819885469174,0.5883428571428572,0.020571428571428574,18.914285714285715
1000,1052030010736714.0,0.78,0.2701428571428572,0.1821714285714285,0.4523142857142856,1.6217499999999998,0.4187571428571429,0.4624714285714286,19.285714285714285,0,Unjammed,0,0.13258530332397175,0.14977139286848437,0.060346402502979325,0.06714210409258203,0.34515714285714283,0.04191428571428571,26.542857142857144
1000,993068073743470.0,0.78,0.3459857142857144,0.1749428571428571,0.5209285714285715,1.7603499999999994,0.3588142857142857,0.3897142857142857,18.2,0,Unjammed,0,0.17410881776909842,0.19743744959981552,0.0903744175176618,0.10081155632760713,0.44785714285714284,0.0299,20.814285714285713
1000,375074238073900.0,0.78,0.2901571428571429,0.1956,0.4857571428571429,1.6696571428571434,0.3767714285714285,0.4227285714285714,20.52857142857143,0,Unjammed,0,0.11639296615071841,0.19525940713013706,0.056227264977498796,0.09682360993338072,0.38975714285714286,0.03741428571428571,23.9
1000,416178520884477.0,0.78,0.3478857142857142,0.1888571428571428,0.536742857142857,1.7765785714285711,0.2921,0.3175142857142857,20.214285714285715,0,Unjammed,0,0.1511964655451695,0.23697493832485617,0.08146012222113866,0.12842927599368845,0.46092857142857147,0.033685714285714284,20.65714285714286
1000,874051135843279.0,0.78,0.3819857142857142,0.187457142857143,0.5694428571428571,1.8378800000000004,0.2791285714285714,0.3097,19.62857142857143,0,Unjammed,0,0.13419502870323882,0.24416504227633662,0.07878327036793677,0.1403300914872426,0.5060714285714285,0.021971428571428572,20.02857142857143
1000,12944511869278.0,0.78,0.3507571428571429,0.2026857142857142,0.5534428571428571,1.7899142857142851,0.2819142857142857,0.3066571428571428,22.15714285714286,0,Unjammed,0,0.2131340129826794,0.24166071355242602,0.11652803927616867,0.13497144674694345,0.4765285714285714,0.03268571428571428,20.4
1000,542029227742456.0,0.78,0.3035285714285714,0.2082285714285714,0.5117571428571428,1.706997142857143,0.3378857142857143,0.3738,23.142857142857142,0,Unjammed,0,0.12450564349292337,0.2640845596279514,0.06386525909476003,0.13538528632473132,0.41745714285714286,0.034871428571428574,24.571428571428573
1000,1011744331896734.0,0.78,0.4109428571428571,0.1852,0.5961428571428571,1.8954785714285711,0.2337142857142857,0.2536714285714285,20.714285714285715,0,Unjammed,0,0.22127373204740053,0.2551656384934374,0.12827522002351674,0.15104896217727878,0.5278999999999999,0.03068571428571429,19.314285714285713
1000,211701226972609.0,0.78,0.3063857142857141,0.1924857142857142,0.4988714285714283,1.6977914285714284,0.3718285714285714,0.4377571428571428,19.857142857142858,0,Unjammed,0,0.1093559204028075,0.18566555173740348,0.05384383928680509,0.09167997145183966,0.3964142857142857,0.041485714285714285,24.15714285714286
1000,292918525777755.0,0.78,0.3312142857142858,0.1840857142857143,0.5153000000000001,1.7365371428571432,0.3200428571428571,0.3675,21.4,0,Unjammed,0,0.14014157978087988,0.24179567979347802,0.07208703294604406,0.1236352229426434,0.43010000000000004,0.036457142857142855,21.114285714285714
1000,731147908347497.0,0.78,0.3191142857142857,0.1941714285714285,0.5132857142857141,1.7272599999999998,0.3322142857142857,0.3665142857142857,20.285714285714285,0,Unjammed,0,0.1266004941085892,0.3040196056525635,0.06510003550638221,0.15685509734883527,0.4356285714285714,0.033,22.214285714285715
1000,985549376192247.0,0.78,0.4420714285714285,0.1957571428571428,0.6378285714285713,1.9525128571428576,0.1697142857142857,0.1908857142857142,23.242857142857144,0,Unjammed,0,0.23486895954383055,0.47402745663954743,0.1504794364890996,0.3018558352291502,0.5882428571428572,0.0197,17.52857142857143
