N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id,p_local_total,p_local_active
1000,7713914261614.0,0.4,0.9884285714285718,0.0105857142857142,0.999014285714286,2.696595714285713,0.0006285714285714,0.0006285714285714,0.9428571428571428,0,Unjammed,0,0.9711126426760195,0.9738975340299952
1000,12944511869278.0,0.4,0.9450428571428572,0.0390857142857142,0.9841285714285714,2.658701428571428,0.0063142857142857,0.0068714285714285,7.3428571428571425,0,Unjammed,0,0.9032794584341622,0.909615610581785
1000,37852570490343.0,0.4,0.8866428571428573,0.0763,0.9629428571428572,2.6039457142857154,0.0114,0.0126714285714285,13.785714285714286,0,Unjammed,0,0.7465984727274515,0.7832110922872478
1000,78804909138230.0,0.4,0.9926142857142858,0.0057428571428571,0.9983571428571428,2.6951742857142844,0.0012,0.0012428571428571,1.3571428571428572,0,Unjammed,0,0.9751974597808397,0.9761948256884836
1000,121838283310165.0,0.4,0.9813285714285708,0.0150714285714285,0.9963999999999992,2.6890785714285728,0.0019428571428571,0.0020571428571428,2.142857142857143,0,Unjammed,0,0.9622821581318174,0.9644744700266477
1000,170902461924754.0,0.4,0.9042142857142856,0.0800714285714286,0.9842857142857142,2.646902857142858,0.0047,0.0050142857142857,7.042857142857143,0,Unjammed,0,0.84720022103486,0.8775009678950079
1000,184656659025018.0,0.4,0.9065571428571428,0.0665,0.9730571428571428,2.6288071428571427,0.0099,0.0107714285714285,8.514285714285714,0,Unjammed,0,0.9286385477522009,0.9306633040085102
1000,201764007966294.0,0.4,0.968671428571428,0.0262999999999999,0.9949714285714278,2.684347142857144,0.0023285714285714,0.0026,2.0428571428571427,0,Unjammed,0,0.9771240830407054,0.9771240830407054
1000,211701226972609.0,0.4,0.981085714285714,0.0151285714285714,0.9962142857142854,2.68812,0.0019142857142857,0.0020285714285714,2.4714285714285715,0,Unjammed,0,0.9397821962881472,0.9417563930400352
1000,216465895742590.0,0.4,0.9064857142857145,0.0714571428571428,0.9779428571428572,2.635844285714286,0.0060428571428571,0.0066142857142857,10.714285714285714,0,Unjammed,0,0.9221281013688302,0.9280603046935112
1000,260045648084392.0,0.4,0.9623714285714284,0.0304571428571428,0.9928285714285712,2.677520000000001,0.0033142857142857,0.0036714285714285,3.057142857142857,0,Unjammed,0,0.9490334325063828,0.9592873082055219
1000,292918525777755.0,0.4,0.9726,0.0221,0.9947,2.683484285714284,0.0028285714285714,0.0029714285714285,2.757142857142857,0,Unjammed,0,0.929344790522804,0.9381803849696939
1000,333614425743970.0,0.4,0.9373000000000002,0.0601571428571428,0.997457142857143,2.681784285714285,0.0012571428571428,0.0014,1.7428571428571429,0,Unjammed,0,0.9488584201011223,0.9517054689766341
