seed,nematic,polar,nematic_2,polar_2
1099062448631258,0.10723379313488984,0.13358325880000116,0.03592094512169018,0.04310287790317127
853827592514924,0.06472960444180234,0.27031780940856076,0.02275409836451488,0.09628826940773938
1052030010736714,0.12472922973911668,0.18031445605007249,0.042536506591586185,0.06192901536127631
993068073743470,0.08533517804745111,0.18959152933832626,0.023415706532322327,0.05434057059927499
375074238073900,0.12845870939608148,0.09504752457384794,0.04016607681373615,0.02775098428016607
416178520884477,0.21353414986758049,0.4058849764676252,0.08011811306226124,0.1487837700414562
874051135843279,0.0958786882638601,0.22900372005753153,0.028192966935378816,0.07209135801441836
12944511869278,0.14208123831647168,0.21508799128146536,0.049852189532867665,0.07768054218188761
542029227742456,0.13782579165477035,0.20745574264568695,0.05294132244991622,0.08227464963916065
1011744331896734,0.11704211001530176,0.2909906436062068,0.039149358986133254,0.10100838381707089
211701226972609,0.14374893927887966,0.22833594612764804,0.0504888267520246,0.0812776573029516
292918525777755,0.1427762912340441,0.19850104379667977,0.03892716150880701,0.05190335121120974
731147908347497,0.19756829875332735,0.3987390280206619,0.08642701978362294,0.169718524115921
985549376192247,0.14375053247691882,0.15948068914470032,0.038468585034750716,0.04385456129746799
873456432950595,0.12261471136182203,0.21458872016916192,0.04765111184968993,0.08486875419972065
422219896800918,0.1819795180658796,0.2752120518241041,0.08098897313446324,0.1272668165146141
900740014674953,0.13674030920517746,0.2680276958503763,0.046056795871994655,0.08870830614206043
1020578668480920,0.08586490848376589,0.1999441164057611,0.02673795350718687,0.06406102637965824
343569160877337,0.13499364258488647,0.22728222288462024,0.054359941299440356,0.09650328922092924
78804909138230,0.09144615632844189,0.17873875074117335,0.022733395750025653,0.042290605348663225
333614425743970,0.16172845330082972,0.21545027047055088,0.06555663005812254,0.08540169864941607
974443487743328,0.11454619575558063,0.2086694517957176,0.03397984550227847,0.065290104705829
703985244396274,0.14757369072697007,0.23062428987219466,0.053543421830499226,0.08688030088005844
1122578106359740,0.11041009121222144,0.1807349039429761,0.030017027717787453,0.04880410185553977
492938554100859,0.09629065640402892,0.12270940731510992,0.02408854347095772,0.030564640460629747
170902461924754,0.10858814030573731,0.27094724552913585,0.04632973720479405,0.11582573638976842
260045648084392,0.12404783110547898,0.20230365903061834,0.03060979421360895,0.05151224412878282
450419983107763,0.12309832158095649,0.24820674932120132,0.037209664518936404,0.07736918525860179
543308666121182,0.1952192949154046,0.2988038263172006,0.07874099601842237,0.11574242955381267
593849570694833,0.15693432078943012,0.25973562841948067,0.059202097155701836,0.09916793563393408
582382717235568,0.15075738280004267,0.10831850467763599,0.037473786031022735,0.025745356613277214
1123570616129223,0.11478925944670139,0.2864710739261123,0.04583598028756285,0.11633605277618904
680622798933824,0.16655544081493304,0.16719131636015508,0.05516516608587189,0.05408089284853666
201764007966294,0.16101966430992198,0.29159677776762327,0.05784363168411487,0.1004501249068836
453356923466257,0.14502523483366483,0.19274183389776034,0.04520289598985883,0.05974195671057547
346214149398000,0.15869574248644538,0.21775903219094445,0.050959512464325105,0.07080607462187928
353918643079908,0.0883239831793444,0.15994365077288372,0.01918521539372677,0.03638690531677934
971536625474344,0.09055298726623957,0.13001827810483754,0.01902297333206696,0.02593644872623708
799035771825238,0.09001935605136671,0.1694727812744104,0.028082880333106214,0.052127959760456484
1114806189928891,0.2015834439291039,0.2588921331211856,0.0902352286459815,0.11433466638085531
216465895742590,0.1986447492047086,0.2918486710670633,0.0746064304510376,0.11172970344698904
926435018171726,0.10333584780579551,0.1557133332233346,0.02555687694433736,0.04026291870528711
744517311885370,0.10513431707577663,0.24055838381699143,0.03949906663289586,0.09034865261651272
812580382463326,0.10489190439720732,0.23553559935523402,0.029521360831501208,0.06566498609589538
521742092743191,0.11354888728303414,0.20200548512162347,0.034280999370456686,0.06091310169335184
1008612444973162,0.08672834652835823,0.175545994300806,0.019507936028980474,0.03887715657542982
121838283310165,0.07869280763422921,0.20526180170320157,0.023227680708676594,0.06493983729684971
431006493426170,0.12377909059638159,0.12539424293939952,0.03145288941736984,0.03333680994864035
765322069857382,0.10851451632165461,0.32303249148746266,0.03248856937489402,0.09891049359329113
725201757884584,0.10916795826051351,0.19744742760857378,0.03092426121468316,0.057428542849376714
184656659025018,0.20490731408440238,0.30681404363187076,0.11199018091003052,0.16532527133177596
1034686135547599,0.12708699676907573,0.22646988216011824,0.04012945867917508,0.07077782289091217
380972098894405,0.1323000910441124,0.16934648801356567,0.040574655893875385,0.051853736981777906
742183958399040,0.08971863538930612,0.20719356907076356,0.030533194680300378,0.06986520515028923
37852570490343,0.15744713553918657,0.31871351610254656,0.05016559383030298,0.1020607597032786
734109262104827,0.1282609072303498,0.20108442080646938,0.04534634322336098,0.06793723019603194
401686787590537,0.10842922938006218,0.2235322259094306,0.03486090029908429,0.07367191256399673
350020380685320,0.09816001568149817,0.13656198699331557,0.02350451638206344,0.03304413565864136
484612500106051,0.10247762875815279,0.2257674832080366,0.037429000041238385,0.08730892171147031
604884003999171,0.1458295190906864,0.12199695325179888,0.04590482637839258,0.03865376641926966
501697692195937,0.08814631105024379,0.15876043693144143,0.02046908691555614,0.03714022746465962
851083349436041,0.1502607106768877,0.325060831835048,0.06297397104331644,0.13986618851454263
796940938751527,0.18120867988014458,0.40417634513367146,0.08097363049113622,0.18065704362534296
7713914261614,0.11385212048861972,0.1788341989794863,0.03134542373007459,0.05319165083556243
