step,mean_aspect_ratio,fraction_elongated,fraction_round,fraction_binary
100,1.0,0.0,1.0,0.0
200,1.3074062499999994,0.030375000000000003,0.3792265625,0.5903984375
300,1.3828460937499998,0.07337500000000001,0.3927421874999999,0.5338828125000002
400,1.4308132812499998,0.110625,0.43284374999999986,0.45653124999999994
500,1.4704242187500007,0.14299999999999996,0.4642812499999999,0.39271875
600,1.5015812499999996,0.1695625000000001,0.4917734374999999,0.3386640625
700,1.52965859375,0.19365625000000003,0.5095859374999999,0.2967578125
800,1.5547718749999997,0.2138515625,0.5194609375,0.2666874999999999
900,1.5763515625,0.23127343750000007,0.5219921874999999,0.24673437499999998
1000,1.59188828125,0.24346875000000004,0.5257890625000001,0.23074218749999997
1100,1.6050554687500007,0.25178124999999996,0.526828125,0.221390625
1200,1.61508203125,0.26057812500000005,0.52753125,0.21189062499999997
1300,1.6261273437499995,0.268828125,0.5263046875,0.20486718749999996
1400,1.6366609375000003,0.275875,0.5233046875000001,0.2008203125
1500,1.6455257812500004,0.28284375,0.5225234375000001,0.19463281249999995
1600,1.6525867187499992,0.2874218749999999,0.5200859375000001,0.19249218749999994
1700,1.6643460937499999,0.2946250000000001,0.5147578125000002,0.1906171875
1800,1.6732125000000002,0.3006015625,0.5091562499999999,0.1902421875
1900,1.6836570312500003,0.306828125,0.5052968749999999,0.18787500000000001
2000,1.6914546874999996,0.31019531250000004,0.5030859374999999,0.18671875000000004
2100,1.6970546875,0.31284375,0.5005859374999999,0.18657031249999997
2200,1.7043882812499997,0.31749218749999986,0.4988671874999999,0.183640625
2300,1.7159890624999994,0.32238281249999995,0.4906171875,0.187
2400,1.7236812500000003,0.3264375,0.48542968750000015,0.18813281249999997
2500,1.7337,0.3305859375,0.4793828125,0.19003124999999993
2600,1.7429117187499994,0.3349453125,0.4743671875,0.1906875
2700,1.7510296875,0.3393593750000001,0.46680468749999987,0.1938359375
2800,1.75981640625,0.3435078125,0.46314843750000007,0.19334375
2900,1.7671898437500004,0.34857812500000007,0.4597890625,0.19163281249999997
3000,1.77376015625,0.35092968750000003,0.4554453125,0.19362499999999996
3100,1.7816609375000003,0.3542421875000001,0.450578125,0.19517968749999998
3200,1.7914687500000002,0.35928125000000005,0.4457656250000001,0.194953125
3300,1.7979499999999997,0.363265625,0.4430703124999999,0.19366406249999998
3400,1.8076796875,0.3670078125,0.43803124999999987,0.19496093749999996
3500,1.8129320312499997,0.370515625,0.4369843749999999,0.19250000000000006
3600,1.8204921875000002,0.3754296875,0.4324062500000001,0.19216406249999998
3700,1.8257992187500003,0.3795156249999999,0.4311249999999998,0.18935937499999997
3800,1.830925,0.3823046875,0.4289218750000002,0.1887734375
3900,1.8338515625000007,0.3825859374999999,0.42708593749999996,0.19032812500000001
4000,1.8367914062500004,0.38340625,0.42232812500000005,0.194265625
4100,1.8432367187499998,0.3866640624999999,0.4182890625,0.19504687499999998
4200,1.849330468750001,0.38971875,0.4144218750000001,0.19585937499999997
4300,1.8533414062499995,0.39197656249999996,0.4138281249999999,0.1941953125
4400,1.8563695312500001,0.3935312499999999,0.4139999999999999,0.19246874999999997
4500,1.8571617187500002,0.39468749999999997,0.4144921875,0.19082031249999998
4600,1.8567023437500005,0.39457031249999996,0.4157343749999999,0.18969531249999996
4700,1.8556070312499997,0.39468749999999986,0.41644531249999994,0.1888671875
4800,1.85850078125,0.39614843749999995,0.4153750000000001,0.18847656250000003
4900,1.8637617187499997,0.3984218749999999,0.411703125,0.18987500000000004
5000,1.8658382812499992,0.400234375,0.411265625,0.18850000000000006
5100,1.8686843749999995,0.402890625,0.41170312499999995,0.18540625
5200,1.8707929687500005,0.4028671875,0.41032031249999995,0.1868124999999999
5300,1.869990625,0.4009687500000001,0.40842187500000005,0.19060937500000003
5400,1.87110546875,0.401953125,0.40906250000000005,0.18898437499999998
5500,1.8740289062500002,0.4030390625000001,0.4070546875,0.18990625000000005
5600,1.8741585937499998,0.4030859375000001,0.4081484375000001,0.18876562500000002
5700,1.87581875,0.40531249999999996,0.40797656250000003,0.18671093750000003
5800,1.8761890624999993,0.40692187499999993,0.4085390625,0.18453906250000002
5900,1.8761085937499997,0.407625,0.40969531249999996,0.18267968750000008
6000,1.87792734375,0.40854687500000003,0.4087343749999999,0.18271874999999996
6100,1.8819453124999996,0.4092109375,0.4051406250000001,0.18564843749999993
6200,1.8821359375000002,0.4085625,0.40285156250000004,0.18858593750000005
6300,1.8845414062499999,0.40912500000000007,0.40035156250000004,0.19052343750000003
6400,1.886496875,0.41006250000000005,0.3991874999999999,0.19074999999999995
6500,1.8909906250000001,0.41284375000000006,0.39754687499999997,0.18960937500000002
6600,1.8972210937499994,0.4158125,0.39419531249999995,0.18999218749999996
6700,1.9049304687500004,0.41946875000000006,0.39059375000000013,0.18993750000000006
6800,1.9092875,0.42177343749999985,0.3891093750000001,0.1891171875
6900,1.9103632812500002,0.42225781250000016,0.38703125,0.19071093749999998
7000,1.9103929687500003,0.4223515625,0.3889609375,0.1886875
7100,1.9109984375,0.42309375000000005,0.38853906250000003,0.18836718749999995
7200,1.91143046875,0.4248906250000001,0.3881640625000001,0.1869453125
7300,1.9118664062500004,0.4241953125000001,0.3879453124999999,0.187859375
7400,1.9084351562499997,0.4227499999999999,0.39154687499999996,0.18570312500000002
7500,1.9081953125,0.42382812500000006,0.39236718749999994,0.18380468749999995
7600,1.9056328125000002,0.42245312499999993,0.39305468749999983,0.18449218750000004
7700,1.9036937500000004,0.420765625,0.39603125000000017,0.1832031249999999
7800,1.90211953125,0.4197265625000001,0.3962812500000001,0.18399218749999996
7900,1.8987679687499999,0.41896874999999995,0.39784374999999994,0.18318749999999998
8000,1.8966351562500003,0.41830468750000005,0.39883593749999996,0.18285937500000005
8100,1.8971109374999997,0.4181718750000001,0.3992343749999999,0.18259375
8200,1.89543125,0.41822656249999984,0.4021953124999999,0.179578125
8300,1.8948156249999997,0.4180859375,0.40257812499999995,0.17933593749999996
