step,nematic,polar,nematic_2,polar_2
100,0.0,0.0,0.0,0.0
200,0.03720762767757686,0.034024812541615844,0.035515231151333614,0.0324952094090092
300,0.04661960013944843,0.04404363635596593,0.04357461717318869,0.04117299984377226
400,0.05206499988398097,0.05283770511334766,0.048234005537191794,0.04900445494901119
500,0.05100347056857096,0.06470781120390638,0.046981339831831594,0.05951107154232394
600,0.05440615690734611,0.07472771399234111,0.049582537036762867,0.06805683922207123
700,0.05896700052670602,0.08510351319529896,0.053190792180429866,0.07679370059778415
800,0.06346440837262216,0.0898604166118151,0.05673296228466842,0.08034082431393168
900,0.06375030052410424,0.09746868822122759,0.056843683895685476,0.08690209907389765
1000,0.07032798339959094,0.10516460686068646,0.062298632290295,0.09321937336039408
1100,0.06890581091446653,0.10820791647359981,0.06054326846289479,0.09537669362094407
1200,0.07117064109993271,0.1136934050139095,0.0625186035379902,0.10016262889807616
1300,0.08023882204424458,0.12259165682651206,0.07047773228450788,0.10773618315109793
1400,0.0860334107859086,0.13346351638911458,0.07546717918526016,0.11729571120900499
1500,0.08856641539266634,0.14438050552278459,0.0777496172416265,0.12731627901452824
1600,0.09682272589359919,0.1532871081797205,0.08528692971406635,0.13513748787076926
1700,0.10226427463957735,0.16368980417658252,0.0900117528294009,0.14418316139922774
1800,0.10295629967864367,0.16780609097455607,0.09035043855650554,0.14741635774538409
1900,0.10132308828298445,0.1725219412286042,0.08927701528257474,0.15182618977324228
2000,0.10239158153726254,0.1789784906897839,0.09010778449154744,0.15750620105255717
2100,0.10891546324128669,0.1822796682157323,0.09565734408960458,0.15972401676378348
2200,0.1137749754853365,0.18525080103714445,0.10006816654826999,0.16288468805866818
2300,0.11681904770052154,0.18518765462793046,0.1027160897960843,0.16281153013925498
2400,0.11908887925344763,0.18518981801007806,0.10480450533359419,0.16328897993362013
2500,0.12715402999504305,0.19166931870088938,0.11264255152987968,0.1693849796438988
2600,0.1371104241935291,0.19857165827349046,0.12119620857075664,0.17528349984363947
2700,0.14500268511200473,0.20261621473982633,0.12838483234672943,0.17936503626160524
2800,0.14907918022998246,0.20934148546669545,0.13200138938859446,0.18566032609023517
2900,0.15484619922623463,0.2145258838474636,0.13744948700285434,0.19106633644944218
3000,0.1574239414698842,0.2233273573465681,0.14002783489873954,0.19892319089005694
3100,0.15992942039803015,0.23134351068310036,0.1423818734785779,0.2059575331111635
3200,0.15901112298570647,0.2369714649672384,0.14133030178288666,0.2107143395820899
3300,0.15921337641051653,0.24118807135042789,0.14126172207062482,0.21384285586190185
3400,0.160422967685465,0.24318985906441917,0.1428668240999298,0.21581110661816746
3500,0.16235535052011807,0.24542385479380294,0.1445427665139134,0.21756940530331415
3600,0.1649077016357202,0.25115062003020594,0.14691465900944306,0.22276745209043833
3700,0.1708056888259534,0.2602953710476427,0.15241398969681305,0.2315347620615142
3800,0.17048904411963756,0.2689870049415417,0.15202797381812314,0.2387957997248415
3900,0.17129583936949241,0.2748810743199178,0.15342999645246375,0.24471895518335912
4000,0.1731189436771966,0.2825967623760459,0.15534996590335923,0.2517341650247695
4100,0.17519005276261718,0.28754487900942566,0.15697809752293757,0.2564661352051091
4200,0.1758996610293021,0.29263029403829294,0.15743608286316377,0.2609659236155408
4300,0.17737257218262298,0.2906525344912596,0.1588156462742861,0.25981951981640944
4400,0.1759086815689489,0.29359379819398745,0.15828924199489047,0.2640752144289124
4500,0.1744941018828699,0.2948551186955884,0.1571120304208289,0.26606662947306536
4600,0.17689186439585985,0.3004383947294631,0.15906561075981726,0.27140308453253414
4700,0.17924504986348985,0.3073180873982816,0.16170069100086526,0.2782868622217196
4800,0.17887079752385515,0.31124773236279385,0.16191949305995468,0.28293740712485477
4900,0.1799173643068877,0.3177375630059088,0.16278182492862647,0.28854875295256516
5000,0.18298130638563725,0.321786425704084,0.1654470689040202,0.29206426523066115
5100,0.18342043622311732,0.328767968758528,0.16508845140377884,0.2975422161996052
5200,0.18654909152065943,0.33249483846492367,0.16823592296905251,0.3011131537786262
5300,0.18920894963419918,0.3386416440973917,0.17125525330118319,0.3072411213685317
5400,0.19119318098107774,0.34564797317318446,0.17356561847541585,0.3141052934666929
5500,0.19297640987173859,0.3536129090229307,0.1756804640470187,0.3217307171566041
5600,0.19986787259645047,0.3558205215915766,0.18230796177648959,0.32440277320492555
5700,0.20575219222236435,0.3606662778040373,0.18761696851558035,0.32896829047768905
5800,0.21421675547355729,0.36219586436632073,0.19527795608423593,0.33045951700135795
5900,0.22183418909640457,0.3663912606349339,0.20181453036605196,0.33430354740684454
6000,0.22367107846630113,0.3665320823381649,0.2036942364256384,0.3351091252797132
6100,0.22529268248401565,0.36556028132743384,0.2054099990819238,0.3351189763333945
6200,0.2217225323026081,0.3648488820871063,0.2019790036505032,0.334411593297417
6300,0.22037922538799112,0.3671592474704425,0.200969259021139,0.33748828649827
6400,0.21684866198562233,0.3709738085104807,0.19819458618732153,0.34155122172858643
6500,0.21163986106308033,0.37376252959565276,0.19358643736201558,0.3437610354541391
6600,0.2085326877753231,0.375007553641323,0.1908753313738355,0.34493701746057315
6700,0.20634467697457226,0.3787826617598329,0.18872576869357613,0.348290591850453
6800,0.20439063547229835,0.38291866830709875,0.18687297243026965,0.3516509305382308
6900,0.20227812340428378,0.38767118103199794,0.18522899389413652,0.35601482034459797
7000,0.1997464305098201,0.3953794921807291,0.18341240136999523,0.3629390267074969
7100,0.2008846284775801,0.40008849484174625,0.18412932142413269,0.36694672337475676
7200,0.20136886350379266,0.4035034322059543,0.18455979521382318,0.37015478457830014
7300,0.20490126627317157,0.40463076595061764,0.18883225253101613,0.37279986031003765
7400,0.2153011797574128,0.40820024202273725,0.1983958093174703,0.37628549388346577
7500,0.22789310642919416,0.41353521062547016,0.2099748301359171,0.3812846485929658
7600,0.23624678036662283,0.42168441174521315,0.21762660033689027,0.3887711080600619
7700,0.2398385953844008,0.42587384862762206,0.22099257608358325,0.39242108147151605
7800,0.2418538455805556,0.43197805199076933,0.22350004982288932,0.3991532953205884
7900,0.2420477365946046,0.4384188711923823,0.2238110392468885,0.40513202438302964
8000,0.24557439980432164,0.4433782099491605,0.2267379764834441,0.4091892701835357
8100,0.2513749000302992,0.4466296749714981,0.23236030146990946,0.41265127848175837
8200,0.25492936012888756,0.44914546577614506,0.23586389777790776,0.41524162986530677
8300,0.2556715255205805,0.45286641895861385,0.23741320714397002,0.4202868716162749
8400,0.2593560703686808,0.45502710319257733,0.2409872675194564,0.4226187640164139
8500,0.2637313438983536,0.45671011386229804,0.24548192865317486,0.4249422356346488
8600,0.26618575804370925,0.45785549494184663,0.24847727137028006,0.42707171278564426
8700,0.26720742125939945,0.4595336399865692,0.24960044935458495,0.4291133224699791
8800,0.26742500731589935,0.4619273308398426,0.24975400316774812,0.4311231367666544
8900,0.26726977032166555,0.4658605335519982,0.24944275367365545,0.43501543990323305
9000,0.26896222289988014,0.46760661740852266,0.2516530440454301,0.43810386490511677
9100,0.2678002768698028,0.46883457994212924,0.25134145757023574,0.4404332668170821
9200,0.2687091926406788,0.4711825988275459,0.25267236926946,0.44285016321791976
9300,0.2674385744296941,0.47513401162790436,0.25187191480985566,0.4472184550878969
9400,0.2693623465957449,0.4796193387965744,0.2533801436537422,0.45135043525927665
9500,0.2729196839710268,0.48637594439823145,0.2568124216057373,0.4582577925652685
9600,0.27505597913626256,0.49172541474302056,0.2581477790554809,0.4621351217099978
