step,N_round,MAX_round,2_MAX_round,N_elongated,MAX_elongated,2_MAX_elongated,N_round_2,MAX_round_2,2_MAX_round_2,N_elongated_2,MAX_elongated_2,2_MAX_elongated_2
100,89.53125,1886.1875,4.875,0.0,0.0,0.0,1.5,1999.46875,0.40625,0.0,0.0,0.0
200,37.28125,1714.46875,5.875,196.34375,6.875,4.4375,5.1875,1760.3125,2.765625,83.625,57.890625,23.484375
300,36.578125,1754.203125,6.65625,167.59375,5.296875,3.578125,2.734375,1805.96875,1.328125,87.171875,29.203125,14.921875
400,39.15625,1758.6875,7.890625,157.90625,5.203125,3.6875,2.3125,1817.921875,1.0625,84.671875,24.640625,13.5
500,37.765625,1774.046875,7.640625,147.21875,5.03125,3.390625,1.984375,1831.828125,0.78125,80.03125,22.84375,11.203125
600,40.703125,1775.375,8.171875,142.546875,4.578125,3.171875,1.96875,1838.515625,0.65625,79.390625,19.921875,10.484375
700,42.359375,1770.84375,8.25,141.09375,4.109375,3.21875,1.796875,1840.03125,0.796875,78.578125,19.390625,10.328125
800,44.40625,1765.734375,8.59375,140.328125,4.359375,3.140625,1.875,1840.78125,0.796875,77.484375,17.78125,10.28125
900,47.03125,1760.6875,10.125,139.328125,4.84375,3.359375,1.84375,1840.84375,0.765625,76.703125,20.484375,10.59375
1000,46.53125,1756.859375,10.15625,140.53125,5.046875,3.328125,1.59375,1840.734375,0.5625,75.890625,21.34375,9.46875
1100,46.671875,1758.4375,10.046875,137.40625,5.625,3.109375,1.875,1843.1875,0.71875,74.640625,20.5625,9.296875
1200,48.515625,1753.296875,10.3125,137.921875,5.515625,3.125,1.78125,1842.515625,0.609375,74.78125,21.828125,9.625
1300,50.828125,1747.265625,10.90625,137.234375,5.953125,3.328125,1.90625,1841.828125,0.75,73.015625,23.40625,9.21875
1400,51.515625,1745.234375,11.546875,137.140625,5.65625,3.609375,1.890625,1841.90625,0.75,73.375,24.671875,8.640625
1500,52.21875,1733.09375,15.203125,136.015625,5.65625,3.453125,1.921875,1842.1875,0.828125,72.359375,23.640625,9.234375
1600,53.703125,1727.734375,13.453125,136.546875,7.859375,3.484375,1.96875,1840.375,1.078125,72.609375,26.875,9.21875
1700,56.640625,1712.5,15.09375,139.1875,7.40625,3.75,2.046875,1837.078125,0.6875,71.3125,27.171875,10.96875
1800,58.953125,1706.984375,14.046875,136.578125,7.453125,3.71875,2.140625,1838.71875,0.9375,71.328125,26.109375,9.890625
1900,57.59375,1707.046875,17.265625,134.546875,7.234375,4.359375,2.109375,1839.921875,0.65625,69.453125,28.546875,9.328125
2000,58.15625,1703.125,15.75,132.375,9.375,4.234375,2.078125,1840.546875,0.78125,68.5,29.765625,9.0625
2100,62.234375,1690.1875,17.09375,134.984375,8.984375,4.953125,2.15625,1836.375,0.765625,69.34375,32.828125,8.9375
2200,62.765625,1681.671875,16.8125,137.53125,8.75,4.84375,2.40625,1832.015625,1.171875,67.796875,33.375,10.71875
