step,N_round,MAX_round,2_MAX_round,N_elongated,MAX_elongated,2_MAX_elongated,N_round_2,MAX_round_2,2_MAX_round_2,N_elongated_2,MAX_elongated_2,2_MAX_elongated_2
100,76.84375,1904.109375,4.71875,0.0,0.0,0.0,1.328125,1999.640625,0.28125,0.0,0.0,0.0
200,31.703125,1760.953125,5.6875,165.640625,5.84375,3.84375,4.671875,1799.796875,2.234375,76.46875,42.4375,18.984375
300,27.296875,1804.6875,5.984375,138.203125,4.640625,3.171875,2.15625,1841.6875,1.140625,77.109375,22.703125,11.953125
400,27.125,1823.03125,5.75,123.453125,4.03125,2.921875,1.859375,1860.484375,0.796875,72.6875,16.9375,10.078125
500,28.328125,1829.21875,5.296875,116.296875,4.125,2.890625,1.78125,1869.125,1.015625,70.21875,15.875,8.484375
600,27.703125,1838.375,5.09375,110.4375,3.53125,2.734375,1.5,1876.796875,0.578125,68.6875,14.15625,7.765625
700,24.96875,1849.625,5.328125,102.609375,3.703125,2.765625,1.421875,1885.671875,0.5,64.546875,13.609375,7.046875
800,25.984375,1848.46875,5.90625,101.671875,3.734375,2.6875,1.3125,1886.875,0.328125,64.3125,14.59375,7.6875
900,26.421875,1849.234375,6.015625,99.96875,3.890625,2.609375,1.390625,1889.375,0.328125,62.9375,14.28125,7.15625
1000,26.609375,1849.609375,6.984375,98.484375,4.21875,2.703125,1.4375,1890.09375,0.390625,62.65625,14.53125,6.609375
1100,27.03125,1850.4375,6.359375,97.296875,4.109375,2.734375,1.4375,1892.09375,0.328125,61.171875,14.375,5.859375
1200,26.71875,1849.421875,6.53125,96.984375,3.65625,2.734375,1.484375,1892.203125,0.359375,61.53125,13.734375,6.296875
1300,26.265625,1850.8125,6.328125,95.984375,4.5625,3.078125,1.40625,1892.265625,0.328125,61.71875,14.578125,6.171875
1400,27.53125,1847.859375,6.375,95.875,4.296875,2.984375,1.34375,1892.015625,0.1875,60.515625,14.859375,6.171875
1500,28.265625,1845.9375,6.984375,95.421875,3.96875,2.8125,1.421875,1892.9375,0.453125,59.390625,15.171875,6.046875
1600,28.359375,1842.296875,7.84375,95.671875,4.75,2.828125,1.265625,1892.6875,0.265625,59.140625,13.96875,6.625
1700,28.890625,1845.1875,7.78125,92.4375,4.09375,3.15625,1.3125,1895.34375,0.359375,57.515625,14.015625,6.875
